"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_BUERKLIN";"OC_FARNELL";"OC_NEWARK";"OC_RS";"PACKAGE";"SUPPLIER";
"C1";"1u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"2320853";"";"";"";"";
"C2";"1u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"2320853";"";"";"";"";
"C3";"1u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"2320853";"";"";"";"";
"C4";"1u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"2320853";"";"";"";"";
"C5";"1u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"2320853";"";"";"";"";
"C6";"100n";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"1759265";"";"";"";"";
"C7";"100n";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"1759265";"";"";"";"";
"C8";"100n";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"1759265";"";"";"";"";
"C9";"100n";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"1759265";"";"";"";"";
"C10";"opt";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C11";"opt";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C12";"4u7/50V";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"2346932";"";"";"";"";
"C13";"4u7/50V";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"2346932";"";"";"";"";
"C14";"22u/25V";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"1907510";"";"";"";"";
"C15";"22u/25V";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"1907510";"";"";"";"";
"C16";"100n";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"1759265";"";"";"";"";
"C17";"1u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"2320853";"";"";"";"";
"C18";"1u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"2320853";"";"";"";"";
"C19";"1u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"2320853";"";"";"";"";
"C20";"1u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"2320853";"";"";"";"";
"C21";"100n";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"1759265";"";"";"";"";
"C22";"100n";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"1759265";"";"";"";"";
"C23";"100n";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"1759265";"";"";"";"";
"C24";"100n";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"1759265";"";"";"";"";
"C25";"100n";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"1759265";"";"";"";"";
