"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_BUERKLIN";"OC_FARNELL";"OC_NEWARK";"OC_RS";"PACKAGE";"SUPPLIER";
"1";"";"AK500/2";"AK500/2";"X6";"CONNECTOR";"";"";"";"1131855";"unknown";"";"";"";
"2";"";"F09HP";"F09HP";"X2_GROUNDSTATION, X3_DEBUG";"SUB-D";"";"";"";"1207597";"unknown";"";"";"";
"1";"";"F15HP";"F15HP";"X4";"SUB-D";"";"";"";"1207598";"unknown";"";"";"";
"2";"";"JP1E";"JP1";"JP1, JP2";"JUMPER";"";"";"";"";"";"";"";"";
"1";"";"ML26L";"ML26L";"SV1";"HARTING";"";"";"";"1096983";"unknown";"";"";"";
"5";"";"ML6";"ML6";"SV2, SV3, SV4, SV5, SV6";"HARTING";"";"";"";"1096984";"unknown";"740-7105";"";"";
"9";"";"SJ";"SJ";"SJ1, SJ2, SJ3, SJ4, SJ5, SJ6, SJ7, SJ8, SJ9";"SMD solder JUMPER";"";"";"";"";"";"";"";"";
"20";"100n";"C-EUC0805K";"C0805K";"C6, C7, C8, C9, C16, C21, C22, C23, C24, C25, C26, C27, C28, C29, C33, C36, C37, C38, C39, C40";"CAPACITOR, European symbol";"";"";"";"1759265";"";"";"";"";
"18";"10k";"R-EU_R0805";"R0805";"R1, R2, R3, R5, R6, R7, R8, R9, R10, R11, R21, R23, R24, R26, R27, R28, R30, R31";"RESISTOR, European symbol";"";"";"";"1887308";"";"";"";"";
"1";"10u/16V";"C-EUC0805K";"C0805K";"C32";"CAPACITOR, European symbol";"";"";"";"2320856";"";"";"";"";
"2";"127";"R-EU_R0805";"R0805";"R22, R25";"RESISTOR, European symbol";"";"";"";"2141745 ";"";"";"";"";
"1";"12V";"ZENER-DIODEDO34-7";"DO34Z7";"D1";"Z-Diode";"";"";"";"1779204";"";"";"";"";
"1";"1M";"R-EU_R0805";"R0805";"R48";"RESISTOR, European symbol";"";"";"";"2333544";"";"";"";"";
"8";"1k";"R-EU_R0805";"R0805";"R16, R17, R18, R19, R20, R36, R43, R44";"RESISTOR, European symbol";"";"";"";"2332071";"";"";"";"";
"2";"1k/100";"R-EU_R0805";"R0805";"R46, R47";"RESISTOR, European symbol";"";"";"";"2332071/2332058";"";"";"";"";
"9";"1u";"C-EUC0805K";"C0805K";"C1, C2, C3, C4, C5, C17, C18, C19, C20";"CAPACITOR, European symbol";"";"";"";"2320853";"";"";"";"";
"2";"22u/25V";"C-EUC0805K";"C0805K";"C14, C15";"CAPACITOR, European symbol";"";"";"";"1907510";"";"";"";"";
"2";"24/1%";"R-EU_R0805";"R0805";"R14, R15";"RESISTOR, European symbol";"";"";"";"1894163";"";"";"";"";
"2";"24/1%";"R-EU_R0805";"R0805";"R12, R13";"RESISTOR, European symbol";"";"";"";"";"";"666-2386";"";"";
"2";"270";"R-EU_R0805";"R0805";"R29, R32";"RESISTOR, European symbol";"";"";"";"2332064";"";"";"";"";
"4";"2k2";"R-EU_R0805";"R0805";"R4, R37, R39, R40";"RESISTOR, European symbol";"";"";"";"2332076";"";"";"";"";
"1";"2k7";"R-EU_R0805";"R0805";"R49";"RESISTOR, European symbol";"";"";"";"2332077";"";"";"";"";
